"_id",Sensor No,Temp,Time
60b498c4b0d3941ee894d803,45,24.042,05/31/2021 11:05:24
60b498c4b0d3941ee894d804,46,23.9053,05/31/2021 11:05:24
60b498c4b0d3941ee894d805,47,24.1919,05/31/2021 11:05:24
60b498c4b0d3941ee894d806,48,23.4182,05/31/2021 11:05:24
60b498c4b0d3941ee894d807,49,23.818,05/31/2021 11:05:24
60b498c4b0d3941ee894d808,50,23.6813,05/31/2021 11:05:24
60b498c85d08c1aeb6e52106,1,27.6122,05/31/2021 11:05:28
60b498c85d08c1aeb6e52107,2,27.7083,05/31/2021 11:05:28
60b498c85d08c1aeb6e52108,3,27.9816,05/31/2021 11:05:28
60b498c85d08c1aeb6e52109,4,27.8265,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210a,5,28.0939,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210b,6,27.5982,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210c,7,25.8437,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210d,8,25.7251,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210e,9,25.176,05/31/2021 11:05:28
60b498c85d08c1aeb6e5210f,10,26.6562,05/31/2021 11:05:28
60b498c85d08c1aeb6e52110,11,27.0628,05/31/2021 11:05:28
60b498c85d08c1aeb6e52111,12,27.0727,05/31/2021 11:05:28
60b498c85d08c1aeb6e52112,13,26.7562,05/31/2021 11:05:28
60b498c85d08c1aeb6e52113,14,25.7112,05/31/2021 11:05:28
60b498c85d08c1aeb6e52114,15,26.3967,05/31/2021 11:05:28
60b498c85d08c1aeb6e52115,16,27.0273,05/31/2021 11:05:28
60b498c85d08c1aeb6e52116,17,27.0722,05/31/2021 11:05:28
60b498c85d08c1aeb6e52117,18,26.9395,05/31/2021 11:05:28
60b498c85d08c1aeb6e52118,19,25.3289,05/31/2021 11:05:28
60b498c85d08c1aeb6e52119,20,25.6285,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211a,21,25.381,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211b,22,25.6345,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211c,23,25.6557,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211d,24,25.565,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211e,25,25.7577,05/31/2021 11:05:28
60b498c85d08c1aeb6e5211f,26,25.665,05/31/2021 11:05:28
60b498c85d08c1aeb6e52120,27,25.5089,05/31/2021 11:05:28
60b498c85d08c1aeb6e52121,28,25.8562,05/31/2021 11:05:28
60b498c85d08c1aeb6e52122,29,25.9721,05/31/2021 11:05:28
60b498c85d08c1aeb6e52123,30,25.5028,05/31/2021 11:05:28
60b498c85d08c1aeb6e52124,31,26.0825,05/31/2021 11:05:28
60b498c85d08c1aeb6e52125,32,25.8838,05/31/2021 11:05:28
60b498c85d08c1aeb6e52126,33,25.9067,05/31/2021 11:05:28
60b498c85d08c1aeb6e52127,34,25.864,05/31/2021 11:05:28
60b498c85d08c1aeb6e52128,35,25.707,05/31/2021 11:05:28
60b498c85d08c1aeb6e52129,36,25.4674,05/31/2021 11:05:28
60b498c85d08c1aeb6e5212a,37,25.5607,05/31/2021 11:05:28
